,date,CPI,interest,oil_price,gold_price,exchange_rate(w/d),KOSPI200(open),sent
0,2020-01-02,99.74,1.51,1174,56720,"1,157.80",294.19,0.31690443453098766
1,2020-01-03,99.75,1.5,1180,57110,"1,156.90",293.1,0.40565563008430555
2,2020-01-06,99.79,1.48,1183,58600,"1,162.70",287.73,0.13093433482170733
3,2020-01-07,99.8,1.47,1182,59100,"1,169.60",290.01,0.35688075315380463
4,2020-01-08,99.81,1.46,1190,59600,"1,165.30",288.94,0.12379651264744893
5,2020-01-09,99.83,1.45,1188,58470,"1,174.10",293.83,0.20504536366902007
6,2020-01-10,99.84,1.45,1187,57950,"1,160.00",294.8,0.23823019426597125
7,2020-01-13,99.87,1.45,1191,58050,"1,161.10",296.62,0.16227079754636822
8,2020-01-14,99.89,1.44,1187,57920,"1,155.70",302.2,0.25755669003922926
9,2020-01-15,99.9,1.44,1183,57700,"1,153.10",299.91,0.11286315011241621
10,2020-01-16,99.91,1.44,1182,57830,"1,158.80",299.93,0.2080877912464536
11,2020-01-17,99.92,1.44,1166,58100,"1,159.60",305.07,0.09104810016876448
12,2020-01-20,99.96,1.44,1166,58300,"1,158.80",304.99,0.1695553295566718
13,2020-01-21,99.97,1.44,1149,58290,"1,158.80",304.94,0.31800568511281185
14,2020-01-22,99.98,1.44,1148,58620,"1,164.70",301.79,0.1329574086642707
15,2020-01-23,99.99,1.44,1143,58210,"1,165.10",303.77,-0.1594233369478787
16,2020-01-28,100.05,1.44,1140,59530,"1,167.20",294.98,-0.08809449544064524
17,2020-01-29,100.07,1.43,1139,59400,"1,176.70",294.38,0.22105649195562602
18,2020-01-30,100.08,1.43,1138,59540,"1,176.00",293.27,0.13596681685174508
19,2020-01-31,100.09,1.42,1124,59900,"1,183.50",290.24,-0.058547929452276715
20,2020-02-03,100.1,1.4,1138,60600,"1,187.80",280.17,0.03604386210479414
21,2020-02-04,100.1,1.4,1117,60080,"1,196.00",285.19,0.08415194431519958
22,2020-02-05,100.1,1.39,1112,59510,"1,189.40",293.57,-0.005281254018054611
23,2020-02-06,100.1,1.39,1109,59510,"1,188.50",294.74,0.057091537665470725
24,2020-02-07,100.11,1.38,1112,59230,"1,181.40",299.59,0.01961915469235179
25,2020-02-10,100.11,1.37,1110,60000,"1,187.20",294.07,0.07415189979604186
26,2020-02-11,100.12,1.36,1096,59970,"1,189.80",297.91,-0.06731405078896789
27,2020-02-12,100.12,1.35,1093,59540,"1,184.10",299.83,0.20104567092330328
